nb_pakt,total pakt,time,throughput Gb/s,rte_burst,pkt_analysis,nb_pakt/s,total pakt/s
1 core offload
9644663, 297411043, 13.228399, 10.791730, 3078497060, 13690260570, 0.729088, 22.482770
9564678, 294964979, 13.228553, 10.702848, 2950123550, 13565539251, 0.723033, 22.297600
9631164, 297031659, 13.228559, 10.777833, 2958369471, 13740135254, 0.728058, 22.453819
9631717, 297024844, 13.228540, 10.777601, 3168445878, 13722868339, 0.728101, 22.453336
9559466, 294781151, 13.228558, 10.696173, 3293629789, 13639493875, 0.722639, 22.283694
9651151, 297627801, 13.228573, 10.799453, 3225725786, 13662423723, 0.729569, 22.498859
9569128, 295086267, 13.228468, 10.707318, 3276042482, 13598190747, 0.723374, 22.306912
9642361, 297320618, 13.228522, 10.788348, 2902282161, 13550513816, 0.728907, 22.475725
9636064, 297131176, 13.228453, 10.781530, 2730740199, 13548839417, 0.728435, 22.461522
9620127, 296647134, 13.228555, 10.763883, 3150502652, 13642493842, 0.727224, 22.424757
=================================================================================================
7 core no off 1:4
55046867, 201937389, 13.228275, 7.327482, 11816157648, 21921956787, 4.161303, 15.265587
54945280, 201656836, 13.228723, 7.317054, 11796398765, 21940214054, 4.153483, 15.243863
54955146, 201747881, 13.228721, 7.320359, 11809509506, 21994343092, 4.154230, 15.250747
54942649, 201652513, 13.228696, 7.316912, 11748663173, 22052531804, 4.153293, 15.243567
54978200, 201740227, 13.228708, 7.320088, 11780261059, 21996223369, 4.155976, 15.250184
7 core no off 1:8
34297617, 250899220, 13.228414, 9.104011, 8144449640, 20580888945, 2.592723, 18.966690
34191886, 250165697, 13.228629, 9.077247, 8115394606, 20489868328, 2.584688, 18.910931
33984155, 248737345, 13.236217, 9.020246, 8204154175, 20383404992, 2.567513, 18.792178
34188049, 250294731, 13.228630, 9.081928, 8247575562, 20502831941, 2.584398, 18.920684
34209153, 250395111, 13.228598, 9.085593, 8088084884, 20513182910, 2.586000, 18.928318
7 core no off 1:16
18133037, 271932180, 13.228480, 9.867153, 5083384467, 16361341446, 1.370757, 20.556570
17961478, 269420280, 13.228446, 9.776034, 5002566581, 16222228084, 1.357792, 20.366738
18118924, 271757202, 13.228538, 9.860762, 5159400431, 16431232315, 1.369685, 20.543253
17968295, 269481303, 13.228508, 9.778202, 5053377540, 16148142068, 1.358301, 20.371254
7 core no off 1:32
9644663, 297411043, 13.228399, 10.791730, 3078497060, 13690260570, 0.729088, 22.482770
9564678, 294964979, 13.228553, 10.702848, 2950123550, 13565539251, 0.723033, 22.297600
9631164, 297031659, 13.228559, 10.777833, 2958369471, 13740135254, 0.728058, 22.453819
9631717, 297024844, 13.228540, 10.777601, 3168445878, 13722868339, 0.728101, 22.453336
9559466, 294781151, 13.228558, 10.696173, 3293629789, 13639493875, 0.722639, 22.283694
=================================================================================================
7 core 64b max 20Gb
9644663, 297411043, 13.228399, 10.791730, 3078497060, 13690260570, 0.729088, 22.482770
9564678, 294964979, 13.228553, 10.702848, 2950123550, 13565539251, 0.723033, 22.297600
9631164, 297031659, 13.228559, 10.777833, 2958369471, 13740135254, 0.728058, 22.453819
9631717, 297024844, 13.228540, 10.777601, 3168445878, 13722868339, 0.728101, 22.453336
9559466, 294781151, 13.228558, 10.696173, 3293629789, 13639493875, 0.722639, 22.283694
7 core 100b max 28.8Gb
17855022, 269367974, 13.228322, 15.638763, 4091924386, 17814260267, 1.349757, 20.362973
18012091, 271771149, 13.228395, 15.778198, 4160668033, 17887741945, 1.361623, 20.544529
18014760, 271814851, 13.228355, 15.780783, 4153207352, 17920980595, 1.361829, 20.547895
17836578, 269103170, 13.228151, 15.623592, 4145106347, 17721000972, 1.348380, 20.343219
18024072, 271991011, 13.228383, 15.790977, 4149721282, 17912168099, 1.362530, 20.561168
7 core 200b max 47.6Gb
19359201, 295181585, 14.728405, 31.425313, 3570818764, 27969043277, 1.314413, 20.041654
19425856, 296241423, 14.728464, 31.538018, 3573146049, 28014125760, 1.318933, 20.113532
19412882, 295961542, 14.728459, 31.508231, 3594023074, 28036779476, 1.318052, 20.094535
19298648, 294291574, 14.728427, 31.330515, 3559284555, 27723881328, 1.310299, 19.981195
19414979, 296056538, 14.728434, 31.518399, 3564970332, 27898326645, 1.318197, 20.101020
7 core 300b max 68Gb
17626857, 268553816, 14.728457, 43.177329, 3378706991, 27942956544, 1.196789, 18.233669
17608933, 268271923, 14.728388, 43.132208, 3391848899, 27937057383, 1.195578, 18.214615
17692937, 269517611, 14.728371, 43.332537, 3381264163, 28037954644, 1.201283, 18.299213
17749133, 270359622, 14.728386, 43.467871, 3368604955, 28073677360, 1.205097, 18.356364
17735043, 270179336, 14.728467, 43.438646, 3371777140, 27967118470, 1.204134, 18.344023
7673276, 236649828, 10.403295, 10.918841, 2483158596, 10863899427, 0.737581, 22.747585
7682083, 236888264, 10.423135, 10.909037, 2487819156, 10867772078, 0.737022, 22.727161
7670441, 236551327, 10.405431, 10.912055, 2505842881, 10860954789, 0.737157, 22.733448
7594761, 234238190, 10.401946, 10.808970, 2572548577, 10794827042, 0.730129, 22.518688
7663831, 236357460, 10.391581, 10.917644, 2585815952, 10916764876, 0.737504, 22.745092
7648740, 235898190, 10.402054, 10.885459, 2889373570, 11081963766, 0.735311, 22.678039
7580219, 233816957, 10.391692, 10.800179, 3076722152, 5318899452, 0.729450, 22.500373
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
7609349, 234697048, 10.390503, 10.842073, 3036574207, 5234022697, 0.732337, 22.587651
7642717, 235723611, 10.392992, 10.886887, 3067869278, 5264661169, 0.735372, 22.681015
7564787, 233345726, 10.396117, 10.773825, 3056531391, 5236217360, 0.727655, 22.445469
7641329, 235668777, 10.396076, 10.881126, 3033434444, 5252672973, 0.735021, 22.669013
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
0, 0, 0.000000, -nan, 0, 0, -nan, -nan
6831820, 211668025, 10.393407, 9.775490, 2169669215, 7725618504, 0.657322, 20.365605
6833456, 211703554, 10.399761, 9.771158, 2088771328, 7713476551, 0.657078, 20.356579
7618445, 234976569, 10.396363, 10.848866, 3062493222, 5359376356, 0.732799, 22.601804
==== ASQ 64
9059091, 279814028, 13.228232, 10.153340, 2247785768, 8001816595, 0.684830, 21.152791
8991434, 277710178, 13.228317, 10.076935, 2286333411, 7932677186, 0.679711, 20.993614
9066845, 280025506, 13.228587, 10.160741, 2797281277, 8073106719, 0.685398, 21.168210
9074576, 280268659, 13.228554, 10.169589, 2809178834, 8068178147, 0.685984, 21.186643
9067046, 280053137, 13.228579, 10.161749, 2932236982, 8066463372, 0.685413, 21.170311
===== ASQ 128
8722920, 269960737, 13.228522, 9.795588, 2384555325, 9682647378, 0.659402, 20.407476
8623470, 266870425, 13.228479, 9.683487, 2494727367, 9663794967, 0.651887, 20.173931
8640820, 267386955, 13.228543, 9.702182, 2564378325, 9730422004, 0.653195, 20.212880
8636875, 267258556, 13.228540, 9.697526, 2295974474, 9582285607, 0.652897, 20.203179
8630282, 267065161, 13.228610, 9.690457, 2441889655, 9657583300, 0.652395, 20.188453
==== ASQ_light 64
9531155, 294544026, 13.228309, 10.687770, 2810349818, 16549858716, 0.720512, 22.266188
9526844, 294452813, 13.228512, 10.684297, 2892041778, 16695519286, 0.720175, 22.258951
9511240, 293922836, 13.228537, 10.665047, 2902232898, 16613689990, 0.718994, 22.218847
9504159, 293740461, 13.228549, 10.658419, 2760521283, 16624107922, 0.718458, 22.205040
9513512, 293996837, 13.228184, 10.668016, 2811385430, 16582132370, 0.719185, 22.225033
==== ASQ_ligth 128
9589599, 297166540, 13.228278, 10.782956, 2533996554, 11534372677, 0.724932, 22.464492
9596807, 297413744, 13.228501, 10.791744, 2680998015, 11580389198, 0.725464, 22.482800
9586983, 297137366, 13.228437, 10.781768, 2765421847, 11626681373, 0.724725, 22.462016
9514137, 294822817, 13.228553, 10.697689, 2672395469, 11441547373, 0.719212, 22.286852
9607295, 297700430, 13.228492, 10.802154, 2514862219, 11496250624, 0.726258, 22.504487
8928404, 276380190, 13.228348, 10.028652, 2543688530, 10701477463, 0.674945, 20.893024
9648509, 299023517, 13.228355, 10.850275, 2666375607, 17917214579, 0.729381, 22.604739
9643413, 298843516, 13.228350, 10.843748, 2681710895, 17837889503, 0.728996, 22.591141
9633561, 298567777, 13.228508, 10.833613, 2630851833, 17919879969, 0.728242, 22.570026
9626082, 298341013, 13.228525, 10.825370, 2592800586, 17927744833, 0.727676, 22.552855
9625593, 298299092, 13.228552, 10.823828, 2595850500, 17895637775, 0.727638, 22.549641
8910860, 275805271, 13.228391, 10.007758, 2490663431, 10662956308, 0.673616, 20.849495
8908412, 275726903, 13.228565, 10.004782, 2714073332, 10657566679, 0.673422, 20.843296
8897823, 275414912, 13.228580, 9.993450, 2686964885, 10654786472, 0.672621, 20.819688
8833269, 273407723, 13.228569, 9.920627, 2719821558, 10623487892, 0.667742, 20.667974
8899657, 275485099, 13.228509, 9.996051, 2469956438, 10710937274, 0.672763, 20.825105
1:4
65815400, 230491809, 13.228322, 8.363576, 10656406794, 25630844826, 4.975340, 17.424116
65605224, 229774468, 13.228231, 8.337604, 10669973727, 25646839040, 4.959486, 17.370007
65596301, 229740605, 13.228379, 8.336282, 10755863771, 25513940401, 4.958756, 17.367254
64927103, 227374079, 13.228443, 8.250371, 10636825758, 25353336759, 4.908144, 17.188272
65568408, 229635447, 13.228431, 8.332433, 10656664861, 25583855311, 4.956628, 17.359235
1:8
43559061, 268896256, 13.228324, 9.757110, 9755492843, 23700387935, 3.292863, 20.327312
43304172, 267288260, 13.228442, 9.698675, 9810366282, 23571734547, 3.273566, 20.205574
42870582, 264586864, 13.228405, 9.600681, 9778253219, 23270289821, 3.240797, 20.001418
43408614, 267918698, 13.228413, 9.721572, 9772195341, 23640498944, 3.281468, 20.253276
43474856, 268336474, 13.228442, 9.736710, 9799446422, 23582231223, 3.286468, 20.284813
1:16
27662843, 284597588, 13.228312, 10.326853, 8177112913, 19326363274, 2.091185, 21.514278
26960982, 277391264, 13.228349, 10.065338, 7951439336, 18853842784, 2.038121, 20.969455
27584989, 283802166, 13.228415, 10.297911, 8121819396, 19194724914, 2.085283, 21.453982
27461727, 282548986, 13.228393, 10.252456, 8056801769, 19169852851, 2.075969, 21.359283
27222136, 280098141, 13.228423, 10.163502, 7964285705, 19011034930, 2.057852, 21.173963
27614293, 284115974, 13.228415, 10.309298, 8092455329, 19260265938, 2.087498, 21.477704
1:32
16900218, 260944602, 11.812745, 10.603244, 5310037845, 14357682408, 1.430677, 22.090091
19184573, 296202569, 13.228145, 10.748086, 6032274948, 16283709210, 1.450284, 22.391845
18894014, 291680444, 13.228417, 10.583777, 5928089293, 15873636577, 1.428290, 22.049535
19177062, 296106413, 13.228415, 10.744377, 6030488868, 16276153204, 1.449687, 22.384118
19145832, 295613829, 13.228596, 10.726357, 6011734835, 16242241690, 1.447306, 22.346576
